PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-49160	chr11	100544875	100627422	+	827.0	2.192	intron (NM_019795, intron 9 of 13)	intron (NM_019795, intron 9 of 13)	10257	NM_001146318	12799	Mm.15711	NM_009923	ENSMUSG00000006782	Cnp	CNPase|Cnp-1|Cnp1	2',3'-cyclic nucleotide 3' phosphodiesterase	protein-coding
chr12-44242	chr12	85414452	85497716	+	826.4	2.166	Intergenic	Intergenic	-17817	NM_010234	14281	Mm.246513	NM_010234	ENSMUSG00000021250	Fos	D12Rfj1|c-fos|cFos	FBJ osteosarcoma oncogene	protein-coding
chr8-36815	chr8	115127808	115248128	+	825.6	1.660	intron (NM_019573, intron 8 of 8)	intron (NM_019573, intron 8 of 8)	518926	NM_001025577	17132	Mm.275549	NM_001025577		Maf	2810401A20Rik|A230108G15Rik|AW047063|c-maf	avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog	protein-coding
chr11-14116	chr11	31981737	32067675	+	824.7	1.464	intron (NM_001290681, intron 3 of 4)	intron (NM_001290681, intron 3 of 4)	23429	NM_001290681	18197	Mm.3304	NM_008741	ENSMUSG00000020297	Nsg2	-	neuron specific gene family member 2	protein-coding
chr17-30105	chr17	32319967	32435196	+	824.6	1.457	intron (NM_011717, intron 2 of 8)	intron (NM_011717, intron 2 of 8)	10236	NM_212438	22404	Mm.274948	NM_011717	ENSMUSG00000024050	Wiz	-	widely-interspaced zinc finger motifs	protein-coding
chr7-51798	chr7	101923392	102026020	+	824.1	1.703	intron (NM_133947, intron 1 of 24)	intron (NM_133947, intron 1 of 24)	4863	NM_133947	101706	Mm.27259	NM_133947	ENSMUSG00000066306	Numa1	6720401E04Rik|AA764025|AL022610|AU014979	nuclear mitotic apparatus protein 1	protein-coding
chr12-26907	chr12	70967559	71057873	+	821.7	1.797	intron (NR_045055, intron 2 of 3)	intron (NR_045055, intron 2 of 3)	3107	NR_045056	73204	Mm.363770	NR_045055	ENSMUSG00000085622	3110056K07Rik	4921536K06Rik	RIKEN cDNA 3110056K07 gene	ncRNA
chr10-47980	chr10	118703283	118830154	+	819.7	1.714	Intergenic	Intergenic	102185	NM_001014390	69181	Mm.45565	NM_001014390	ENSMUSG00000028630	Dyrk2	1810038L18Rik	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	protein-coding
chr7-53297	chr7	126972435	127052196	+	819.6	1.634	intron (NM_080638, intron 1 of 14)	B2_Mm2|SINE|B2	2279	NM_080638	78388	Mm.228797	NM_080638	ENSMUSG00000030681	Mvp	2310009M24Rik|LRP|VAULT1	major vault protein	protein-coding
chr1-53333	chr1	80579985	80676330	+	819.5	1.700	intron (NM_001285927, intron 3 of 55)	AT_rich|Low_complexity|Low_complexity	37195	NM_001285927	210293	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding
chr2-59970	chr2	72959010	73060000	+	818.2	1.941	Intergenic	Intergenic	-29059	NM_001018042	20687	Mm.124328	NM_011450	ENSMUSG00000027109	Sp3	D130027J01Rik	trans-acting transcription factor 3	protein-coding
chr4-21501	chr4	129525516	129587809	+	817.2	1.736	exon (NM_001162432, exon 6 of 13)	exon (NM_001162432, exon 6 of 13)	1149	NR_106199	102465997		NR_106199		Mir8119	mmu-mir-8119	microRNA mir-8119	ncRNA
chr10-38748	chr10	62500797	62557282	+	816.8	1.495	Intergenic	ID_B1|SINE|B4	-21284	NM_011157	19073	Mm.338790	NM_011157	ENSMUSG00000020077	Srgn	Prg|Prg1|Sgc	serglycin	protein-coding
chr5-49770	chr5	34158016	34250128	+	816.3	1.876	intron (NM_001015039, intron 8 of 12)	B1_Mur4|SINE|Alu	-16362	NM_010753	17122	Mm.259260	NM_010753	ENSMUSG00000037235	Mxd4	2810410A03Rik|Mad4|bHLHc12	Max dimerization protein 4	protein-coding
chr12-22836	chr12	33111576	33219199	+	815.9	2.017	intron (NM_028139, intron 2 of 3)	MIR|SINE|MIR	17701	NM_028139	380753	Mm.41540	NM_028139	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding
chr3-44207	chr3	106771598	106844929	+	814.1	2.207	Intergenic	MTC|LTR|ERVL-MaLR	14294	NM_146489	258482	Mm.377527	NM_146489	ENSMUSG00000043529	Olfr266	MOR122-2	olfactory receptor 266	protein-coding
chr6-38846	chr6	134873795	134955806	+	812.8	2.410	Intergenic	Intergenic	-5601	NM_009875	12576	Mm.2958	NM_009875	ENSMUSG00000003031	Cdkn1b	AA408329|AI843786|Kip1|p27|p27Kip1	cyclin-dependent kinase inhibitor 1B	protein-coding
chr9-47647	chr9	20916797	21031651	+	812.0	2.375	intron (NM_010333, intron 1 of 1)	RSINE1|SINE|B4	2569	NM_010333	14739	Mm.46493	NM_010333	ENSMUSG00000043895	S1pr2	1100001A16Rik|Edg5|Gpcr13|H218|LPb2|S1P2	sphingosine-1-phosphate receptor 2	protein-coding
chr17-4039	chr17	31011795	31110696	+	809.9	2.432	intron (NM_009593, intron 1 of 14)	intron (NM_009593, intron 1 of 14)	3551	NM_009593	11307	Mm.15691	NM_009593		Abcg1	AW413978|Abc8|White	ATP-binding cassette, sub-family G (WHITE), member 1	protein-coding
chr19-28855	chr19	53838625	53908548	+	809.2	2.475	Intergenic	Intergenic	-18645	NM_011050	18569	Mm.1605	NM_011050	ENSMUSG00000024975	Pdcd4	D19Ucla1|Ma3|Tis	programmed cell death 4	protein-coding
chr6-34505	chr6	22373796	22459872	+	806.9	2.224	Intergenic	Intergenic	-60753	NM_138587	27999	Mm.490307	NM_138587	ENSMUSG00000029672	Fam3c	D6Wsu176e|Ilei	family with sequence similarity 3, member C	protein-coding
chr14-31408	chr14	118840197	118971412	+	804.8	2.317	intron (NM_025943, intron 7 of 19)	(TCCC)n|Simple_repeat|Simple_repeat	17363	NM_025943	66573	Mm.87456	NM_025943	ENSMUSG00000042156	Dzip1	2510025K24Rik|2810422M04Rik|mKIAA0996	DAZ interacting protein 1	protein-coding
chr5-21860	chr5	73206043	73301827	+	804.6	2.203	intron (NM_028194, intron 1 of 62)	intron (NM_028194, intron 1 of 62)	2683	NM_028194	72313	Mm.260594	NM_028194	ENSMUSG00000070733	Fryl	2010313D22Rik|2310004H21Rik|2510002A14Rik|9030227G01Rik|mKIAA0826	furry homolog-like (Drosophila)	protein-coding
chr14-11847	chr14	19889855	19995490	+	803.8	1.881	intron (NM_001285909, intron 3 of 5)	intron (NM_001285909, intron 3 of 5)	34021	NM_001285911	14702	Mm.41737	NM_010315	ENSMUSG00000043004	Gng2	82	guanine nucleotide binding protein (G protein), gamma 2	protein-coding
chr11-18618	chr11	96435222	96510978	+	803.1	1.734	intron (NM_001177898, intron 1 of 10)	L1ME3|LINE|L1	8509	NM_001033186	78473	Mm.395840	NM_001033186	ENSMUSG00000057058	Skap1	1700091G21Rik|Scap1|Skap-55	src family associated phosphoprotein 1	protein-coding
chr15-44132	chr15	58124851	58216169	+	802.6	1.315	Intergenic	PB1D7|SINE|Alu	29074	NM_029734	76773	Mm.26771	NM_029734	ENSMUSG00000022359	Wdyhv1	2410187C16Rik|AU014961|AW550036|Ntaq1	WDYHV motif containing 1	protein-coding
chr2-30673	chr2	59438977	59528141	+	800.9	1.062	Intergenic	L1ME1|LINE|L1	-1094	NM_029723	76747	Mm.275769	NM_029723	ENSMUSG00000026989	Dapl1	2310032F03Rik|EEDA	death associated protein-like 1	protein-coding
chr10-39142	chr10	75276889	75365779	+	800.7	1.134	intron (NM_009630, intron 1 of 2)	PB1D9|SINE|Alu	4457	NM_009630	11540	Mm.333734	NM_009630	ENSMUSG00000020178	Adora2a	A2AAR|A2aR|AA2AR	adenosine A2a receptor	protein-coding
chr3-20138	chr3	19366509	19459397	+	800.2	1.559	Intergenic	Intergenic	-95642	NM_001163536	66326	Mm.45615	NM_025489	ENSMUSG00000027606	Dnajc5b	1700008A05Rik	DnaJ (Hsp40) homolog, subfamily C, member 5 beta	protein-coding
chr17-39478	chr17	21446778	21517206	+	800.2	1.615	Intergenic	Intergenic	-6996	NM_013843	24132	Mm.42140	NM_013843		Zfp53	D030067O06Rik|KRAZ1|Zfp-53|Zfp118|zfas8	zinc finger protein 53	protein-coding
chr2-49487	chr2	13697734	13797555	+	800.1	1.634	intron (NM_145838, intron 2 of 7)	intron (NM_145838, intron 2 of 7)	45876	NM_145838	241230	Mm.330004	NM_145838	ENSMUSG00000003418	St8sia6	1700007J08Rik|AI314453|AI875066|ST8SiaVI|Siat8f	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding
chr5-22894	chr5	122638275	122746008	+	799.3	1.350	TTS (NM_001038845)	TTS (NM_001038845)	-15416	NM_011026	18438	Mm.290884	NM_011026	ENSMUSG00000029470	P2rx4	AI504491|AW555605|D5Ertd444e|P2X4	purinergic receptor P2X, ligand-gated ion channel 4	protein-coding
chr5-43566	chr5	64860109	64938238	+	798.7	1.624	Intergenic	Intergenic	33526	NM_030682	21897	Mm.273024	NM_030682	ENSMUSG00000044827	Tlr1	-	toll-like receptor 1	protein-coding
chr5-30840	chr5	142880038	142936414	+	795.5	1.771	Intergenic	Intergenic	-1502	NM_007393	11461	Mm.328431	NM_007393	ENSMUSG00000029580	Actb	Actx|E430023M04Rik|beta-actin	actin, beta	protein-coding
chr2-22761	chr2	167313992	167388848	+	795.1	1.861	Intergenic	Intergenic	-2242	NM_019835	56336	Mm.200886	NM_019835	ENSMUSG00000017929	B4galt5	9430078I07Rik|AW049941|AW539721	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	protein-coding
chr5-53778	chr5	118556955	118688692	+	794.2	1.867	intron (NM_172424, intron 2 of 30)	intron (NM_172424, intron 2 of 30)	62104	NM_172424	76199	Mm.206238	NM_172424	ENSMUSG00000018076	Med13l	2210413I17Rik|6330591G05Rik|9030618F05Rik|Thrap2|Trap240L|mKIAA1025	mediator complex subunit 13-like	protein-coding
chr13-24289	chr13	109776536	109848073	+	793.9	1.786	intron (NM_011056, intron 7 of 16)	intron (NM_011056, intron 7 of 16)	-91505	NR_035442	100316683		NR_035442		Mir1904	Mirn1904|mmu-mir-1904	microRNA 1904	ncRNA
chr7-53570	chr7	128345176	128418438	+	792.3	2.167	intron (NM_026418, intron 4 of 4)	intron (NM_026418, intron 4 of 4)	36365	NM_026418	67865	Mm.18635	NM_026418	ENSMUSG00000030844	Rgs10	2310010N19Rik	regulator of G-protein signalling 10	protein-coding
chr14-30056	chr14	64834745	64979967	+	791.1	1.570	intron (NM_177338, intron 1 of 9)	intron (NM_177338, intron 1 of 9)	42491	NM_177338	219150	Mm.344074	NM_177338	ENSMUSG00000021972	Hmbox1	AI451877|AI604847|F830020C16Rik	homeobox containing 1	protein-coding
chr8-25555	chr8	35585677	35685053	+	790.7	1.730	intron (NM_001081279, intron 1 of 2)	intron (NM_001081279, intron 1 of 2)	-46345	NR_040376	100504714	Mm.381744	NR_040376	ENSMUSG00000097357	Gm16793	-	predicted gene, 16793	ncRNA
chr18-7894	chr18	89191793	89273932	+	790.5	1.694	intron (NM_178687, intron 3 of 6)	L1MA4A|LINE|L1	35435	NM_001039149	225825	Mm.139293	NM_178687	ENSMUSG00000034028	Cd226	BC051526|DNAM-1|DNAM1|Pta1|TLiSA1	CD226 antigen	protein-coding
chr13-11331	chr13	23683022	23764086	+	790.1	1.675	Intergenic	RLTR50B|LTR|ERVK	-12743	NM_010424	15216	Mm.2681	NM_010424	ENSMUSG00000006611	Hfe	MR2	hemochromatosis	protein-coding
chr7-40029	chr7	126105691	126200823	+	787.6	1.751	exon (NM_028816, exon 7 of 24)	exon (NM_028816, exon 7 of 24)	47151	NM_028816	74204	Mm.235663	NM_028816	ENSMUSG00000000131	Xpo6	2610005L19Rik|AI854665|AL022631|C230091E20Rik|R75304|Ranbp20|mKIAA0370	exportin 6	protein-coding
chr10-14100	chr10	41552097	41661311	+	787.4	1.700	Intergenic	Intergenic	-18951	NM_001177571	75973	Mm.228517	NM_029493	ENSMUSG00000075225	Ccdc162	5033413D22Rik|Ccdc162p|Gm61	coiled-coil domain containing 162	protein-coding
chr15-27145	chr15	96583316	96666302	+	786.2	1.800	intron (NM_001166458, intron 1 of 15)	RSINE1|SINE|B4	17153	NM_134086	105727	Mm.103568	NM_134086	ENSMUSG00000023169	Slc38a1	AA408026|AA409865|AL022800|AU015942|NAT2	solute carrier family 38, member 1	protein-coding
chr17-27209	chr17	56251347	56349325	+	785.5	1.768	promoter-TSS (NM_029799)	promoter-TSS (NM_029799)	-50	NM_029799	76920	Mm.329132	NM_029799	ENSMUSG00000073380	Arrdc5	1700013E09Rik	arrestin domain containing 5	protein-coding
chr6-33774	chr6	136915439	136981862	+	785.3	1.983	Intergenic	Lx8|LINE|L1	-5873	NM_023898	78600	Mm.290622	NM_023898		Pde6h	A930033D18Rik|PDEgamma	phosphodiesterase 6H, cGMP-specific, cone, gamma	protein-coding
chr3-21181	chr3	89163699	89253591	+	783.3	1.516	TTS (NM_001161824)	TTS (NM_001161824)	5690	NM_001161824	17827	Mm.280943	NM_013604	ENSMUSG00000064068	Mtx1	Gcap6|Mtx	metaxin 1	protein-coding
chr2-75588	chr2	172359939	172441679	+	782.4	1.483	intron (NM_001276422, intron 1 of 5)	(GAAA)n|Simple_repeat|Simple_repeat	7015	NM_001276423	320664	Mm.210195	NM_001033538	ENSMUSG00000074570	Cass4	F730031O20Rik	Cas scaffolding protein family member 4	protein-coding
chr17-42066	chr17	47485215	47567505	+	781.4	1.290	intron (NM_001081636, intron 1 of 6)	B1_Mus1|SINE|Alu	21309	NM_001081636	12445	Mm.27291	NM_007632	ENSMUSG00000034165	Ccnd3	9230106B05Rik|AA682053|AL024085|AW146355|C78795	cyclin D3	protein-coding
chr17-15921	chr17	53557610	53657270	+	781.4	1.197	intron (NM_001190846, intron 1 of 17)	intron (NM_001190846, intron 1 of 17)	23314	NM_001190846	18519	Mm.255025	NM_020005	ENSMUSG00000000708	Kat2b	A930006P13Rik|AI461839|AW536563|Pcaf|p/CAF	K(lysine) acetyltransferase 2B	protein-coding
chr15-39994	chr15	78859217	78941499	+	779.9	1.414	intron (NM_009164, intron 1 of 17)	intron (NM_009164, intron 1 of 17)	572	NM_009164	20401	Mm.4462	NM_009164	ENSMUSG00000022436	Sh3bp1	3BP-1	SH3-domain binding protein 1	protein-coding
chr4-40303	chr4	43931349	43992981	+	779.8	1.094	intron (NM_027450, intron 1 of 4)	intron (NM_027450, intron 1 of 4)	4463	NM_027450	384009	Mm.22213	NM_027450	ENSMUSG00000028480	Glipr2	5730414A08Rik|C77180|GAPR-1	GLI pathogenesis-related 2	protein-coding
chr9-39219	chr9	106148482	106233593	+	779.8	1.056	3' UTR (NM_029896, exon 9 of 9)	3' UTR (NM_029896, exon 9 of 9)	7902	NM_198931	67905	Mm.23018	NM_026447		Ppm1m	2810423O19Rik|AW610647|C77250|PP2Ceta	protein phosphatase 1M	protein-coding
