PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr18-17403	chr18	20932701	21020032	+	870.6	1.830	intron (NM_026301, intron 2 of 5)	intron (NM_026301, intron 2 of 5)	-24975	NM_019706	56515	Mm.253542	NM_019706	ENSMUSG00000024317	Rnf138	2410015A17Rik|2810480D20Rik|STRIN|Trif|Trif-d	ring finger protein 138	protein-coding
chr9-46928	chr9	122176990	122250982	+	867.6	1.934	intron (NM_133979, intron 11 of 12)	intron (NM_133979, intron 11 of 12)	60042	NR_106185	102465896		NR_106185		Mir8106	mmu-mir-8106	microRNA mir-8106	ncRNA
chr18-20128	chr18	56428017	56479884	+	866.1	2.390	intron (NM_026240, intron 1 of 13)	B1_Mus1|SINE|Alu	21818	NM_026240	107022	Mm.24356	NM_026240	ENSMUSG00000001700	Gramd3	9030613F08Rik|9130427A09Rik|AW061306|NS3TP2	GRAM domain containing 3	protein-coding
chr17-25079	chr17	12720055	12810606	+	863.9	2.780	intron (NM_010515, intron 1 of 47)	intron (NM_010515, intron 1 of 47)	4376	NM_010515	16004	Mm.26553	NM_010515	ENSMUSG00000023830	Igf2r	AI661837|CD222|CI-MPR|M6P/IGF2R|Mpr300	insulin-like growth factor 2 receptor	protein-coding
chr3-37553	chr3	59080431	59136093	+	863.5	2.826	intron (NM_177855, intron 15 of 43)	RLTR19|LTR|ERVK	-6441	NM_173398	229323	Mm.123648	NM_173398	ENSMUSG00000050075	Gpr171	A630006E05|F730001G15Rik|H963	G protein-coupled receptor 171	protein-coding
chr10-40072	chr10	28662024	28736453	+	863.0	2.786	intron (NM_178666, intron 1 of 5)	intron (NM_178666, intron 1 of 5)	30843	NM_178666	210757	Mm.123021	NM_178666	ENSMUSG00000049109	Themis	A430108D01|BB160712|E430004N04Rik|Gasp|Tsepa|thylex	thymocyte selection associated	protein-coding
chr6-45365	chr6	38784099	38877034	+	862.4	2.388	intron (NM_001294144, intron 1 of 14)	intron (NM_001294144, intron 1 of 14)	6745	NM_001136065	15258	Mm.23790	NM_010433	ENSMUSG00000061436	Hipk2	1110014O20Rik|B230339E18Rik|Stank	homeodomain interacting protein kinase 2	protein-coding
chr9-55762	chr9	66863922	66948969	+	860.1	2.605	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	13260	NM_173413	235442	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding
chr5-52538	chr5	147037811	147088524	+	858.1	2.559	intron (NM_080795, intron 1 of 9)	intron (NM_080795, intron 1 of 9)	13405	NM_080795	140887	Mm.272203	NM_080795	ENSMUSG00000016520	Lnx2	9630046H24|AW209022	ligand of numb-protein X 2	protein-coding
chr13-26041	chr13	116940342	117055127	+	857.7	2.724	intron (NM_001081009, intron 3 of 26)	intron (NM_001081009, intron 3 of 26)	27782	NM_001081009	52552	Mm.274466	NM_027272	ENSMUSG00000021725	Parp8	2810430O08Rik|ARTD16|D13Ertd275e	poly (ADP-ribose) polymerase family, member 8	protein-coding
chr2-64730	chr2	152767833	152831675	+	857.4	3.691	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	30963	NM_001289739	12048	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding
chr5-1237	chr5	117114849	117183555	+	856.3	4.322	intron (NM_001081308, intron 1 of 19)	intron (NM_001081308, intron 1 of 19)	15614	NM_183306	330177	Mm.24343	NM_183306	ENSMUSG00000061288	Taok3	2900006A08Rik|A130052D22|A430105I05Rik	TAO kinase 3	protein-coding
chr19-24415	chr19	25042206	25081142	+	853.8	4.135	intron (NM_028785, intron 3 of 47)	intron (NM_028785, intron 3 of 47)	62145	NM_028785	76088	Mm.102485	NM_028785	ENSMUSG00000052085	Dock8	1200017A24Rik|5830472H07Rik|A130095G14Rik|AI461977	dedicator of cytokinesis 8	protein-coding
chr11-27237	chr11	60091003	60193117	+	851.8	3.944	intron (NM_009021, intron 2 of 5)	intron (NM_009021, intron 2 of 5)	1978	NM_001037764	19377	Mm.296366	NM_009021	ENSMUSG00000062115	Rai1	Gt1	retinoic acid induced 1	protein-coding
chr12-45632	chr12	85660568	85713023	+	850.6	4.589	promoter-TSS (NM_016767)	promoter-TSS (NM_016767)	75	NM_016767	53314	Mm.6672	NM_016767	ENSMUSG00000034266	Batf	B-ATF|SFA-2	basic leucine zipper transcription factor, ATF-like	protein-coding
chr17-39523	chr17	66046887	66150170	+	845.5	4.564	intron (NM_028388, intron 1 of 7)	intron (NM_028388, intron 1 of 7)	3031	NM_001278415	72900	Mm.2206	NM_028388	ENSMUSG00000024099	Ndufv2	2900010C23Rik	NADH dehydrogenase (ubiquinone) flavoprotein 2	protein-coding
chr19-20171	chr19	9021102	9088987	+	841.9	4.364	intron (NM_001286518, intron 6 of 6)	intron (NM_001286518, intron 6 of 6)	32912	NM_011681	22287	Mm.2258	NM_011681	ENSMUSG00000024653	Scgb1a1	CC10|CC16|CCSP|PCB-BP|UG|UGB|Utg	secretoglobin, family 1A, member 1 (uteroglobin)	protein-coding
chr7-59186	chr7	80627432	80698176	+	840.5	3.851	intron (NM_173863, intron 2 of 14)	intron (NM_173863, intron 2 of 14)	26073	NM_173863	70461	Mm.392175	NM_173863	ENSMUSG00000030527	Crtc3	2610312F20Rik|6332415K15Rik|AI429792|BC011210|TORC3	CREB regulated transcription coactivator 3	protein-coding
chr9-3330	chr9	64779820	64838538	+	839.4	3.498	Intergenic	ID_B1|SINE|B4	-1832	NM_001162917	102442	Mm.222473	NM_176935	ENSMUSG00000053641	Dennd4a	AI115600|AI851943|F730015K02Rik	DENN/MADD domain containing 4A	protein-coding
chr6-48943	chr6	140593261	140633141	+	836.0	3.284	Intergenic	B1_Mur4|SINE|Alu	-9462	NM_178803	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding
chr2-74307	chr2	11483488	11554393	+	835.8	2.305	intron (NM_001177758, intron 1 of 14)	B1F|SINE|Alu	-16850	NM_001177757	170768	Mm.19669	NM_133232	ENSMUSG00000026773	Pfkfb3	E330010H22Rik|iPFK-2|uPFK-2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	protein-coding
chr11-44777	chr11	115451718	115514745	+	835.6	1.966	intron (NM_177778, intron 2 of 2)	intron (NM_177778, intron 2 of 2)	7554	NM_177778	276905	Mm.38019	NM_177778	ENSMUSG00000057219	Armc7	A630084C13|BC023126	armadillo repeat containing 7	protein-coding
chr2-80854	chr2	156177021	156279098	+	835.6	1.731	intron (NM_172674, intron 2 of 17)	intron (NM_172674, intron 2 of 17)	31412	NM_172674	228829	Mm.427078	NM_172674	ENSMUSG00000038116	Phf20	6820402O20Rik	PHD finger protein 20	protein-coding
chr18-12171	chr18	38398401	38464012	+	835.2	1.602	intron (NM_022996, intron 1 of 7)	RLTR18B|LTR|ERVK	12231	NM_022996	65113	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding
